Foods,Unit,Price/Serving,Serving Size,Calories,Cholesterol mg,Total_Fat g,Sodium mg,Carbohydrates g,Dietary_Fiber g,Protein g,Vit_A IU,Vit_C IU,Calcium mg,Iron mg
Frozen Broccoli,Oz Pkg,0.16,10.00,73.8,0,0.8,68.2,13.6,8.5,8,5867.4,160.2,159,2.3
"Carrots,Raw",Cup Shredded,0.07,0.50,23.7,0,0.1,19.2,5.6,1.6,0.6,15471,5.1,14.9,0.3
"Celery, Raw",Stalk,0.04,1.00,6.4,0,0.1,34.8,1.5,0.7,0.3,53.6,2.8,16,0.2
Frozen Corn,Cup,0.18,0.50,72.2,0,0.6,2.5,17.1,2,2.5,106.6,5.2,3.3,0.3
"Lettuce,Iceberg,Raw",Leaf,0.02,1.00,2.6,0,0,1.8,0.4,0.3,0.2,66,0.8,3.8,0.1
"Peppers, Sweet, Raw",Pepper,0.53,1.00,20,0,0.1,1.5,4.8,1.3,0.7,467.7,66.1,6.7,0.3
"Potatoes, Baked",Cup,0.06,0.50,171.5,0,0.2,15.2,39.9,3.2,3.7,0,15.6,22.7,4.3
Tofu,Block,0.31,0.25,88.2,0,5.5,8.1,2.2,1.4,9.4,98.6,0.1,121.8,6.2
Roasted Chicken,Lb,0.84,1.00,277.4,129.9,10.8,125.6,0,0,42.2,77.4,0,21.9,1.8
Spaghetti W/ Sauce,Cup,0.78,1.50,358.2,0,12.3,1237.1,58.3,11.6,8.2,3055.2,27.9,80.2,2.3
"Tomato,Red,Ripe,Raw","Tomato, 2- 3/5 In",0.27,1.00,25.8,0,0.4,11.1,5.7,1.4,1,766.3,23.5,6.2,0.6
"Apple,Raw,W/ Skin","Fruit,3/Lb,Wo/ Rf",0.24,1.00,81.4,0,0.5,0,21,3.7,0.3,73.1,7.9,9.7,0.2
Banana,"Fruit,Wo/Skn &Seeds",0.15,1.00,104.9,0,0.5,1.1,26.7,2.7,1.2,92.3,10.4,6.8,0.4
Grapes,"Fruits,Wo/Rf",0.32,10.00,15.1,0,0.1,0.5,4.1,0.2,0.2,24,1,3.4,0.1
"Kiwifruit,Raw, Fresh","Med Frt,Wo/Skin",0.49,1.00,46.4,0,0.3,3.8,11.3,2.6,0.8,133,74.5,19.8,0.3
Oranges,"Frt,2-5/8 Diam",0.15,1.00,61.6,0,0.2,0,15.4,3.1,1.2,268.6,69.7,52.4,0.1
Bagels,Oz,0.16,1.00,78,0,0.5,151.4,15.1,0.6,3,0,0,21,1
Wheat Bread,Sl,0.05,1.00,65,0,1,134.5,12.4,1.3,2.2,0,0,10.8,0.7
White Bread,Sl,0.06,1.00,65,0,1,132.5,11.8,1.1,2.3,0,0,26.2,0.8
Oatmeal Cookies,Cookie,0.09,1.00,81,0,3.3,68.9,12.4,0.6,1.1,2.9,0.1,6.7,0.5
Apple Pie,Oz,0.16,1.00,67.2,0,3.1,75.4,9.6,0.5,0.5,35.2,0.9,3.1,0.1
Chocolate Chip Cookies,Cookie,0.03,1.00,78.1,5.1,4.5,57.8,9.3,0,0.9,101.8,0,6.2,0.4
"Butter,Regular",Pat,0.05,1.00,35.8,10.9,4.1,41.3,0,0,0,152.9,0,1.2,0
Cheddar Cheese,Oz,0.25,1.00,112.7,29.4,9.3,173.7,0.4,0,7,296.5,0,202,0.2
"3.3% Fat,Whole Milk",1 C,0.16,1.00,149.9,33.2,8.1,119.6,11.4,0,8,307.4,2.3,291.3,0.1
2% Lowfat Milk,1 C,0.23,1.00,121.2,18.3,4.7,121.8,11.7,0,8.1,500.2,2.3,296.7,0.1
Skim Milk,1 C,0.13,1.00,85.5,4.4,0.4,126.2,11.9,0,8.4,499.8,2.4,302.3,0.1
Poached Eggs,Lrg Egg,0.08,1.00,74.5,211.5,5,140,0.6,0,6.2,316,0,24.5,0.7
Scrambled Eggs,Egg,0.11,1.00,99.6,211.2,7.3,168,1.3,0,6.7,409.2,0.1,42.6,0.7
"Bologna,Turkey",Oz,0.15,1.00,56.4,28.1,4.3,248.9,0.3,0,3.9,0,0,23.8,0.4
"Frankfurter, Beef",pc,0.27,1.00,141.8,27.4,12.8,461.7,0.8,0,5.4,0,10.8,9,0.6
"Ham,Sliced,Extralean","Sl,6-1/4x4x1/16 In",0.33,1.00,37.1,13.3,1.4,405.1,0.3,0,5.5,0,7.4,2,0.2
"Kielbasa,Prk","Sl,6x3-3/4x1/16 In",0.15,1.00,80.6,17.4,7.1,279.8,0.6,0,3.4,0,5.5,11.4,0.4
Cap'N Crunch,Oz,0.31,1.00,119.6,0,2.6,213.3,23,0.5,1.4,40.6,0,4.8,7.5
Cheerios,Oz,0.28,1.00,111,0,1.8,307.6,19.6,2,4.3,1252.2,15.1,48.6,4.5
"Corn Flks, Kellogg'S",Oz,0.28,1.00,110.5,0,0.1,290.5,24.5,0.7,2.3,1252.2,15.1,0.9,1.8
